cycle,r2_single,r2_delta,rmse_single,rmse_delta,filename
7,0.5044450667887252,0.520114422526898,1.0605631578547112,1.043661068516902,data/Dopamine.smi
8,0.44035094989948675,0.4194558691494227,1.1616357574554774,1.183122479055985,data/Dopamine.smi
9,0.528834303527858,0.5225971337198594,0.9934085500922168,0.9999621755141455,data/Dopamine.smi
0,0.8064407312196378,0.8050383338302397,0.8425209119193854,0.8455675670339546,data/Estrogen.smi
1,0.7980202855185186,0.7628245484232855,0.8126419760713295,0.8806031662263353,data/Estrogen.smi
2,0.7859777965684182,0.7816962977671547,0.8808318644751562,0.8895987255605937,data/Estrogen.smi
3,0.8258606569846296,0.8088077155034807,0.8230646864330691,0.8624237325576607,data/Estrogen.smi
4,0.7602505777832582,0.75679465024454,0.9174421797600014,0.9240308701137886,data/Estrogen.smi
5,0.7943077351779725,0.8012868917415112,0.8538304618444291,0.8392201892275417,data/Estrogen.smi
6,0.7707262899639719,0.7595400797411129,0.8896375825294164,0.9110817374739447,data/Estrogen.smi
7,0.8084793850707988,0.7777526615874398,0.817357832442761,0.8804865966794153,data/Estrogen.smi
8,0.7757522567847497,0.7854827344106158,0.9011438542557805,0.8813759806054711,data/Estrogen.smi
9,0.7647231630589422,0.7697313277293567,0.8974790299500977,0.8878756626940992,data/Estrogen.smi
0,0.6319068274009538,0.6179574443031148,0.8264847868134068,0.8419995387510795,data/Glucocorticoid.smi
1,0.7041371341481661,0.6610340359822352,0.7817511387301722,0.8367608238736971,data/Glucocorticoid.smi
2,0.6444922046019852,0.6284272722275694,0.8840775509411891,0.9038320014802863,data/Glucocorticoid.smi
3,0.6291227178852384,0.6110264636419067,0.845568687759919,0.8659519690101016,data/Glucocorticoid.smi
4,0.5994982465350938,0.5715488885685944,0.8814171774022735,0.911653777659691,data/Glucocorticoid.smi
5,0.6554450263778151,0.6149703581845747,0.7893534383692034,0.834428878538183,data/Glucocorticoid.smi
6,0.6537816373104187,0.6320859691277046,0.8250730868126185,0.850531783092357,data/Glucocorticoid.smi
7,0.6078971466001817,0.555780683775443,0.8817125189176945,0.9384815204596052,data/Glucocorticoid.smi
8,0.6217678253477679,0.5792375833146195,0.927245687037408,0.977989196927288,data/Glucocorticoid.smi
9,0.5660192208327643,0.5541297361585116,0.8761549069544515,0.8880755318021513,data/Glucocorticoid.smi
0,0.6388885084255584,0.579588916562466,1.0786161209292942,1.1638133398812278,data/LCK.smi
1,0.6124868775257568,0.6015274813297113,1.153892721654203,1.1700957841092434,data/LCK.smi
2,0.5834788139502558,0.5582080431552765,1.1372083464934795,1.1711981906905278,data/LCK.smi
3,0.6261503393153682,0.5666271972340273,1.0364117384185043,1.1158727039002576,data/LCK.smi
4,0.5907765681673105,0.5877798598601784,1.142035389583431,1.1462092761702463,data/LCK.smi
5,0.485553839390106,0.46614552385363717,1.240596865992495,1.2637819805714157,data/LCK.smi
6,0.535022518609243,0.5356085925472167,1.1600368447631184,1.159305538671626,data/LCK.smi
